LAC,,,,,,,,,,,,,,,,,,,,,1196600000000,1313550000000,1378050000000,1392010000000,1500320000000,1597240000000,1705810000000,1816950000000,1919590000000,2015840000000,2097750000000,2260630000000,2389270000000,2530900000000,2601250000000,2808960000000,2955200000000,3169130000000,3279900000000,3331610000000,3563500000000,3667910000000,3751140000000,4023860000000,4386560000000,4775800000000,5240720000000,5706020000000,6121260000000,6083160000000,6518300000000,6964790000000
LDC,,,,,,,,,,,,,,,,,,,,,,180293000000,194671000000,206190000000,217516000000,225754000000,240023000000,259327000000,276395000000,294243000000,309843000000,325425000000,334197000000,343246000000,357082000000,384905000000,414029000000,444246000000,468973000000,497544000000,531413000000,574516000000,611683000000,656094000000,722074000000,802848000000,892289000000,995875000000,1089950000000,1160260000000,1237590000000,1324850000000
LMY,,,,,,,,,,,,,,,,,,,,,3899780000000,4364190000000,4743940000000,5059110000000,5499260000000,5913070000000,6287440000000,6763670000000,7337590000000,7851710000000,8301950000000,8749270000000,9049050000000,9495740000000,9854880000000,10608900000000,11346200000000,12126000000000,12720600000000,13382800000000,14506600000000,15385400000000,16337800000000,17826000000000,19757400000000,22030500000000,24944200000000,27965900000000,30691000000000,31880000000000,34573000000000,37562100000000
LIC,,,,,,,,,,,,,,,,,,,,,147909000000,165732000000,177961000000,189223000000,200939000000,210347000000,224720000000,239922000000,259104000000,274079000000,291844000000,302617000000,303474000000,312815000000,321705000000,343947000000,367200000000,389293000000,408994000000,433116000000,459402000000,495472000000,521394000000,557859000000,611317000000,675129000000,740272000000,815348000000,886099000000,944546000000,1010630000000,1093250000000
LMC,,,,,,,,,,,,,,,,,,,,,1004580000000,1143150000000,1252280000000,1364150000000,1454200000000,1561080000000,1659180000000,1768590000000,1950520000000,2129250000000,2281120000000,2383140000000,2490930000000,2599130000000,2725320000000,2926300000000,3146980000000,3326830000000,3449470000000,3687440000000,3920760000000,4171690000000,4388900000000,4727290000000,5224040000000,5773800000000,6409850000000,7115820000000,7605620000000,8096090000000,8757180000000,9476830000000
MEA,,,,,,,,,,,,,,,,,,,,,640018000000,707360000000,754207000000,805261000000,846546000000,882358000000,887897000000,914621000000,959394000000,1032790000000,1165810000000,1286960000000,1371950000000,1424040000000,1494220000000,1586440000000,1698630000000,1791270000000,1899240000000,1985140000000,2127380000000,2218490000000,2319290000000,2463550000000,2704400000000,2923140000000,3183590000000,3450940000000,3684190000000,3808920000000,4006160000000,4293510000000
MNA,,,,,,,,,,,,,,,,,,,,,348501000000,379049000000,440665000000,495902000000,524297000000,561298000000,556574000000,572948000000,591317000000,629193000000,706005000000,780084000000,828679000000,848363000000,884928000000,932205000000,1007140000000,1057620000000,1136380000000,1204970000000,1273320000000,1335790000000,1408880000000,1479990000000,1621110000000,1751280000000,1906640000000,2080830000000,2218460000000,2321020000000,,
MIC,,,,,,,,,,,,,,,,,,,,,3756210000000,4203370000000,4570980000000,4875150000000,5303450000000,5707540000000,6067920000000,6529240000000,7084340000000,7583810000000,8017020000000,8452910000000,8750300000000,9186870000000,9536790000000,10268500000000,10982700000000,11740100000000,12315200000000,12954000000000,14050100000000,14894500000000,15820400000000,17271000000000,19148200000000,21356900000000,24202200000000,27146500000000,29799100000000,30933000000000,33558100000000,36463600000000
NAC,,,,,,,,,,,,,,,,,,,,,3039440000000,3411640000000,3544970000000,3845690000000,4272370000000,4586440000000,4845570000000,5150210000000,5552020000000,5961720000000,6294070000000,6481470000000,6830620000000,7177810000000,7629820000000,8006370000000,8442890000000,8990320000000,9513540000000,10128200000000,10775200000000,11146200000000,11530500000000,12081200000000,12849400000000,13699300000000,14518500000000,15227900000000,15521600000000,15175700000000,15755400000000,16386900000000
INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OED,,,,,,,,,,,,,,,,,,,,,8297270000000,9268910000000,9849120000000,10522400000000,11437200000000,12234000000000,12883800000000,13708200000000,14859800000000,16018600000000,17152200000000,17951400000000,18747600000000,19436500000000,20474700000000,21467500000000,22574900000000,23839600000000,24966300000000,26155600000000,27980000000000,29093500000000,30202100000000,31395700000000,33302600000000,35247400000000,37778100000000,39970300000000,41233000000000,40204800000000,41817200000000,43417100000000
OSS,,,,,,,,,,,,,,,,,,,,,16264937032,18731942832,20118351625,21771824589,23920413539,25125405661,26645331338,27153316877,30811409402,34429986198,38068966812,41349651215,43270524659,45351538851,48036905435,51263223119,54697076923,60034518992,64116698075,66462891133,70832804380,76648827919,81603767682,87498940950,97746707105,104361000000,112898000000,126032000000,135525000000,137410000000,144776000000,155234000000
PSS,,,,,,,,,,,,,,,,,,,,,,2415361886,2491308403,2576183470,2854506123,2879999900,3113244200,3073296558,3206152034,3489490907,3784502661,3923678125,4211942501,4404089950,4732247686,5042699331,5322134485,5378460541,5575460127,5902413031,5944308091,6097365514,6285723680,6575105175,7048935786,7453300995,7909091769,8274783969,8660214847,8694757137,8892194738,9411227614
SST,,,,,,,,,,,,,,,,,,,,,39257739264,44418236834,47913020027,49593621175,53144091470,55062190495,57678706929,58600779609,63944075970,70107959700,75701213248,80687295336,83469831831,86655143987,91756093041,97517742047,103619000000,111693000000,119112000000,124504000000,132331000000,141132000000,149840000000,161765000000,178642000000,191336000000,209235000000,229608000000,243983000000,244705000000,254337000000,267626000000
SAS,,,,,,,,,,,,,,,,,,,,,384981000000,446796000000,492068000000,546456000000,590577000000,641644000000,687665000000,737602000000,829456000000,908089000000,993701000000,1046590000000,1129740000000,1204920000000,1304440000000,1427950000000,1553710000000,1643960000000,1760600000000,1921080000000,2044840000000,2184350000000,2304810000000,2526800000000,2794790000000,3141850000000,3525050000000,3957610000000,4200250000000,4578510000000,5013020000000,5457270000000
SSF,,,,,,,,,,,,,,,,,,,,,328809000000,363431000000,387981000000,399478000000,422563000000,442392000000,462696000000,487689000000,527341000000,565733000000,595705000000,621527000000,630446000000,647863000000,671014000000,713697000000,762909000000,806700000000,838185000000,872520000000,925368000000,983799000000,1035880000000,1109140000000,1218370000000,1335230000000,1469340000000,1617960000000,1745900000000,1817270000000,1927230000000,2067510000000
SSA,,,,,,,,,,,,,,,,,,,,,328488000000,363077000000,387603000000,399089000000,422152000000,441961000000,462267000000,487227000000,526851000000,565231000000,595167000000,620978000000,629822000000,647185000000,670286000000,712845000000,761785000000,804726000000,835742000000,869005000000,921329000000,977038000000,1027670000000,1099590000000,1204810000000,1319850000000,1453260000000,1597870000000,1723160000000,1793170000000,1903090000000,2040900000000
UMC,,,,,,,,,,,,,,,,,,,,,2764090000000,3071960000000,3330760000000,3521670000000,3863160000000,4161730000000,4425020000000,4779820000000,5144370000000,5452680000000,5733200000000,6066890000000,6256430000000,6584620000000,6808280000000,7338710000000,7832000000000,8409300000000,8862120000000,9261980000000,10124900000000,10718000000000,11426700000000,12538800000000,13918800000000,15577400000000,17786500000000,20024400000000,22187700000000,22829900000000,24794500000000,26981300000000
