AL,2007,F15,49463.107,6.00000 63.0000,44331,6182,32033,40.577599,3.8159993,8.0011496
AL,2004,F16,52503.018,6.00000 63.0000,44331,6812,31472,40.58279,3.8246179,7.7074308
AL,2005,F16,57143.349,6.00000 63.0000,44331,7318,28926,40.577599,3.8023257,7.8086019
AL,2006,F16,55250.621,6.00000 63.0000,44331,6564,33905,40.577599,3.8115101,8.4172183
AL,2007,F16,54096.547,6.00000 63.0000,44331,6629,31050,40.169914,3.813066,8.1605893
AL,2008,F16,61918.055,6.00000 63.0000,44331,7267,30407,40.577599,3.8047466,8.5204424
AL,2009,F16,57441.273,6.00000 63.0000,44264,7513,31165,39.780128,3.8098602,7.645584
AL,2010,F18,58289.46,6.00000 63.0000,44264,7057,30039,40.58279,3.8193791,8.2598073
AL,2011,F18,72122.018,6.00000 63.0000,44264,8947,29958,40.577599,3.8159063,8.0610281
AL,2012,F18,70484.266,6.00000 63.0000,44331,8688,31372,40.577599,3.8080289,8.1128299
AG,1992,F10,577113.56,6.00000 63.0000,3074619,52552,2982089,49.274899,4.117919,10.981762
AG,1993,F10,613399.44,6.00000 63.0000,3074619,58499,2960036,49.02969,4.1218643,10.48564
AG,1994,F10,592200.26,6.00000 63.0000,3074619,54883,2957793,48.778233,4.1148539,10.790231
AG,1994,F12,514550.57,6.00000 63.0000,3074619,46480,3007846,49.818916,4.1246128,11.070365
AG,1995,F12,647577.89,6.00000 63.0000,3074619,61672,2958141,49.28511,4.1137347,10.500355
AG,1996,F12,677017.19,6.00000 63.0000,3074619,66208,2961383,49.82196,4.1170483,10.22561
AG,1997,F12,638044.71,6.00000 63.0000,3074619,59836,2944290,49.82196,4.1225734,10.663225
AG,1998,F12,666212.27,6.00000 63.0000,3074619,66026,2934768,49.818916,4.1202688,10.09015
AG,1999,F12,567535.45,6.00000 63.0000,3074619,56291,2960431,49.818916,4.1147771,10.08217
AG,1997,F14,643875.05,6.00000 63.0000,3074619,59436,2961485,49.473866,4.1240873,10.833082
AG,1998,F14,674527.51,6.00000 63.0000,3074619,66344,2941147,49.36956,4.1195278,10.167122
AG,1999,F14,574493.6,6.00000 63.0000,3074619,58221,2935809,49.091812,4.1203156,9.8674636
